Country.of.Origin,Number.of.Bags,Variety,Processing.Method,Aroma,Flavor,Acidity,Balance,Sweetness,Moisture,altitude_mean_meters
Guatemala,275,Bourbon,Washed / Wet,7.58,7.58,7.67,7.58,10,0.1,1901
"Tanzania, United Republic Of",320,Bourbon,Washed / Wet,7.67,7.58,7.67,7.58,10,0.12,168
Vietnam,1,Catimor,Natural / Dry,7.58,7.42,7.33,8.58,10,0.07,1550
Guatemala,250,Caturra,Washed / Wet,7.67,7.75,7.75,7.5,10,0.11,1500
Honduras,275,Catuai,Washed / Wet,7.67,7.67,7.67,7.67,10,0.11,1450
China,3,Catimor,Washed / Wet,7.5,7.67,7.67,7.67,10,0.11,1200
China,3,Catimor,Washed / Wet,7.67,7.67,7.67,7.58,10,0.1,1600
El Salvador,275,Bourbon,Washed / Wet,7.5,7.5,7.67,7.67,10,0,1350
Guatemala,150,Bourbon,Washed / Wet,7.5,7.75,7.83,7.5,10,0.11,1500
Guatemala,100,Bourbon,Washed / Wet,7.92,7.67,7.75,7.5,10,0.12,1650
Kenya,300,SL28,Washed / Wet,7.83,7.75,7.75,8.5,9.33,0.1,250.5
"Tanzania, United Republic Of",180,Other,Washed / Wet,7.58,7.67,7.58,7.58,10,0.13,1653
Colombia,232,Caturra,Washed / Wet,7.58,7.5,7.67,7.67,10,0,1775
Uganda,84,SL14,Washed / Wet,8,7.67,7.42,7.58,10,0.1,1800
Honduras,275,Catuai,Natural / Dry,7.5,7.5,7.67,7.67,10,0.1,1450
Honduras,275,Caturra,Natural / Dry,7.67,7.67,7.67,7.67,10,0.11,1350
Guatemala,200,Catuai,Washed / Wet,7.33,7.83,8.17,7.67,10,0.09,1524
"Tanzania, United Republic Of",300,Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,10,0.12,1800
Guatemala,250,Bourbon,Washed / Wet,7.67,7.83,7.67,7.67,10,0.11,1310.64
Mexico,45,Typica,Washed / Wet,7.75,7.58,7.58,7.42,10,0.11,1500
Mexico,10,Typica,Washed / Wet,7.75,7.67,7.5,7.58,10,0.12,532
Mexico,10,Pacamara,Washed / Wet,7.58,7.75,7.67,7.58,10,0.14,1089
Colombia,275,Caturra,Washed / Wet,7.67,7.5,7.5,8.17,10,0.11,1775
Mexico,15,Typica,Washed / Wet,7.75,7.5,7.75,7.58,10,0.13,700
Colombia,250,Caturra,Washed / Wet,7.58,7.67,7.58,7.67,10,0.11,1750
Mexico,250,Typica,Washed / Wet,7.5,7.75,7.58,7.5,10,0.11,1380
Brazil,50,Mundo Novo,Natural / Dry,7.75,7.67,7.5,7.58,10,0.12,1000
Brazil,100,Mundo Novo,Natural / Dry,7.92,7.58,7.58,7.5,10,0.11,950
Guatemala,250,Bourbon,Washed / Wet,7.75,7.5,7.5,8,9.33,0,1402.08
Brazil,25,Mundo Novo,Semi-washed / Semi-pulped,7.75,7.5,7.5,7.5,10,0.12,1000
Colombia,275,Caturra,Washed / Wet,7.58,7.67,7.67,7.58,10,0,1799
Brazil,320,Yellow Bourbon,Pulped natural / honey,7.58,7.58,7.5,7.58,10,0.11,905
Brazil,320,Yellow Bourbon,Natural / Dry,7.33,7.67,7.33,7.42,10,0,1
Taiwan,20,Typica,Natural / Dry,7.83,7.92,7.83,7.25,10,0,750
Brazil,300,Bourbon,Washed / Wet,7.58,7.83,7.42,7.5,10,0,1200
Costa Rica,250,Catuai,Washed / Wet,7.83,7.33,7.67,7.67,10,0.1,1300
Taiwan,50,Typica,Other,7.75,7.75,7.5,7.5,10,0.11,1300
Mexico,10,Other,Washed / Wet,7.75,7.67,7.75,7.5,10,0.1,1400
Brazil,320,Bourbon,Natural / Dry,7.58,7.5,7.75,7.5,10,0,890
Brazil,320,Bourbon,Natural / Dry,7.5,7.58,7.67,7.5,10,0.11,894
Brazil,320,Bourbon,Natural / Dry,7.5,7.67,7.67,7.42,10,0.11,872
Uganda,310,Bourbon,Washed / Wet,7.67,7.58,7.42,7.5,10,0.12,1473
Uganda,325,Bourbon,Natural / Dry,7.67,7.67,7.58,7.5,10,0.12,1645
Vietnam,2,Caturra,Other,7.75,7.67,7.58,7.67,10,0,1550
Guatemala,275,Catuai,Washed / Wet,7.67,7.75,7.92,7.5,10,0.11,1550
Guatemala,200,Catuai,Washed / Wet,7.75,7.67,7.75,7.42,10,0.11,1371.6
Guatemala,250,Bourbon,Washed / Wet,7.83,7.67,7.67,7.5,10,0.11,1500
Brazil,305,Catuai,Natural / Dry,7.67,7.67,7.5,7.5,10,0,1000
Taiwan,10,Typica,Washed / Wet,7.92,7.92,7.58,7.25,10,0.08,1200
Uganda,300,SL14,Washed / Wet,7.83,7.58,7.5,7.5,10,0.12,1800
United States (Puerto Rico),17,Other,Washed / Wet,7.67,7.5,7.83,7.83,9.33,0,853.44
Guatemala,26,Bourbon,Washed / Wet,7.67,7.67,7.83,7.5,10,0.1,1500
Costa Rica,250,Catuai,Washed / Wet,7.67,7.58,7.58,7.5,10,0.11,1200
Brazil,250,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.67,10,0.12,1250
Colombia,120,Caturra,Washed / Wet,7.75,7.42,7.5,7.17,10,0.11,1775
Colombia,250,Caturra,Washed / Wet,7.83,7.5,7.33,7.67,10,0,1750
Colombia,250,Caturra,Natural / Dry,7.33,7.67,7.42,7.58,10,0.11,1000
Colombia,250,Caturra,Natural / Dry,7.58,7.75,7.67,7.42,10,0,1000
Colombia,275,Caturra,Washed / Wet,7.5,7.5,7.58,7.58,10,0.11,1775
Mexico,15,Typica,Washed / Wet,7.67,7.58,7.5,7.58,10,0.11,750
Mexico,20,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.58,7.67,10,0.11,1200
Mexico,250,Bourbon,Washed / Wet,7.5,7.67,7.5,7.58,10,0.11,1200
Colombia,250,Caturra,Washed / Wet,7.75,7.58,7.67,7.75,10,0,1625
Colombia,250,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,10,0.11,1750
Guatemala,275,Bourbon,Washed / Wet,7.5,7.67,7.67,7.83,10,0.1,1371.6
Colombia,121,Caturra,Washed / Wet,7.67,7.67,7.5,7.42,10,0.12,1775
Brazil,320,Bourbon,Natural / Dry,7.67,7.58,7.58,7.5,10,0,890
El Salvador,100,Bourbon,Washed / Wet,7.5,7.5,7.58,7.83,9.33,0,1350
Colombia,129,Caturra,Washed / Wet,7.58,7.67,7.33,7.58,10,0.11,1500
Taiwan,10,Caturra,Natural / Dry,7.17,7.83,7.67,7.58,10,0.09,350
Ethiopia,250,Ethiopian Heirlooms,Washed / Wet,7.58,7.58,7.5,7.58,10,0,2000
Taiwan,11,Typica,Natural / Dry,7.5,7.58,7.33,7.75,10,0,775
Philippines,250,Other,Washed / Wet,7.58,7.58,7.58,7.5,10,0.11,1200
Philippines,4,Other,Washed / Wet,8.08,7.5,7.42,7.5,10,0,1600
Mexico,11,Typica,Natural / Dry,7.83,7.67,7.58,7.5,10,0.13,1059
Mexico,275,Bourbon,Washed / Wet,7.75,7.67,7.42,7.5,10,0.12,1300
Brazil,300,Moka Peaberry,Semi-washed / Semi-pulped,7.08,7.5,7.83,7.67,10,0.11,11000
Uganda,1,SL14,Washed / Wet,8,7.5,7.58,7.42,10,0.12,1650
Uganda,1,SL14,Washed / Wet,7.75,7.58,7.5,7.5,10,0.12,1400
Guatemala,250,Bourbon,Washed / Wet,7.75,7.5,7.58,7.5,10,0.1,1500
Guatemala,26,Caturra,Natural / Dry,7.67,7.83,7.5,7.5,10,0.1,1500
Colombia,250,Caturra,Washed / Wet,7.58,7.5,7.33,7.58,10,0.11,1900
Colombia,250,Caturra,Natural / Dry,7.75,7.5,7.5,7.5,10,0,1750
Guatemala,250,Bourbon,Washed / Wet,7.83,7.75,7.92,7.17,10,0.11,1706.88
Colombia,250,Other,Washed / Wet,7.83,7.67,7.42,7.58,10,0.11,1450
Mexico,15,Typica,Natural / Dry,7.58,7.58,7.25,7.75,10,0.1,1248
Vietnam,1,Other,Natural / Dry,7.67,7.33,7.58,7.42,10,0,1040
Mexico,100,Typica,Washed / Wet,8,7.92,7.17,7.42,10,0.14,1400
Kenya,27,SL28,Washed / Wet,7.75,7.58,7.58,7.5,10,0.1,1754
Guatemala,50,Bourbon,Washed / Wet,7.5,7.58,7.67,7.58,10,0.11,1700
Brazil,320,Yellow Bourbon,Pulped natural / honey,7.67,7.58,7.5,7.42,10,0.11,905
El Salvador,275,Pacas,Washed / Wet,7.33,7.67,7.83,7.67,10,0,1250
Rwanda,150,Bourbon,Washed / Wet,7.83,7.92,7.83,7.75,9.33,0.11,1900
Vietnam,3,Other,Other,7.25,7.58,7.42,7.42,10,0.11,1040
Guatemala,80,Bourbon,Washed / Wet,7.58,7.58,7.67,7.5,10,0.11,1219.2
Brazil,300,Catuai,Natural / Dry,7.58,7.83,7.67,7.33,10,0.12,900
Colombia,100,Other,Washed / Wet,7.83,7.67,7.58,7.67,10,0,1600
United States,300,Other,Other,7.42,7.58,7.5,7.75,10,0,1200
Guatemala,250,Bourbon,Washed / Wet,7.67,7.67,7.67,7.17,10,0.1,1500
Colombia,40,Typica,Natural / Dry,7.5,7.42,7.5,7.58,10,0,1800
Colombia,125,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,10,0.11,1775
"Tanzania, United Republic Of",300,Arusha,Washed / Wet,7.67,7.5,7.25,7.75,10,0.11,1400
Mexico,250,Caturra,Washed / Wet,7.58,7.67,7.58,7.5,10,0.12,1550
Mexico,250,Bourbon,Washed / Wet,7.67,7.58,7.75,7.42,10,0.12,1250
Guatemala,250,Bourbon,Washed / Wet,7.67,7.67,7.5,7.92,10,0.11,1310.64
Mexico,250,Typica,Washed / Wet,7.58,7.58,7.42,7.58,10,0.11,1380
Guatemala,275,Caturra,Washed / Wet,7.5,7.58,7.67,7.5,10,0.1,1100
Guatemala,275,Caturra,Washed / Wet,7.58,7.67,7.58,7.42,10,0.11,1800
Guatemala,50,Bourbon,Washed / Wet,7.5,7.67,7.67,7.58,10,0.11,1700
Guatemala,50,Bourbon,Washed / Wet,7.5,7.5,7.58,7.5,10,0.1,1219.2
Guatemala,25,Bourbon,Washed / Wet,7.42,7.58,7.67,7.5,10,0.1,1219.2
Indonesia,2,Sulawesi,Other,7.5,7.58,7.58,7.5,10,0.12,1500
Guatemala,25,Bourbon,Washed / Wet,7.58,7.58,7.58,7.67,10,0.12,157.8864
Taiwan,8,Yellow Bourbon,Natural / Dry,7.83,7.67,7.67,7.67,10,0,650
El Salvador,275,Bourbon,Washed / Wet,7.67,7.67,7.33,7.67,10,0,1250
Costa Rica,250,Caturra,Washed / Wet,7.58,7.5,7.67,7.5,10,0.09,1850
Honduras,275,Caturra,Natural / Dry,7.58,7.5,7.58,7.5,10,0.09,1400
Brazil,320,Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.5,7.58,10,0.11,905
China,3,Catimor,Natural / Dry,7.67,7.5,7.33,7.67,10,0.1,1100
China,3,Catimor,Washed / Wet,7.5,7.67,7.67,7.5,10,0.11,1500
Colombia,250,Caturra,Washed / Wet,7.5,7.58,7.75,7.5,10,0,1775
Malawi,29,Gesha,Washed / Wet,7.75,7.58,7.5,7.5,10,0.12,1442
Guatemala,250,Pacas,Washed / Wet,7.75,7.42,7.75,7.67,10,0.13,1524
Colombia,275,Typica,Washed / Wet,7.67,7.42,7.58,7.67,10,0.12,165
Colombia,250,Caturra,Washed / Wet,7.58,7.33,7.33,8.58,10,0.1,1300
Mexico,32,Typica,Washed / Wet,7.58,7.58,7.5,7.5,10,0.12,1550
Mexico,250,Typica,Washed / Wet,7.58,7.58,7.75,7.58,10,0.12,1200
Mexico,21,Typica,Natural / Dry,8.08,8.17,8,7.92,10,0.12,1200
Colombia,250,Caturra,Washed / Wet,7.5,7.58,7.67,7.58,10,0,1625
Colombia,100,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,10,0.11,1775
Panama,300,Catuai,Washed / Wet,7.42,7.42,7.58,7.75,10,0,1100
Brazil,320,Bourbon,Natural / Dry,7.5,7.58,7.75,7.5,10,0,890
Brazil,320,Bourbon,Natural / Dry,7.5,7.58,7.67,7.42,10,0.11,934
Laos,60,Catimor,Washed / Wet,7.67,7.67,7.42,7.5,10,0.13,1300
El Salvador,275,Pacas,Washed / Wet,7.67,7.67,7.67,7.67,9.33,0,1200
Brazil,320,Yellow Bourbon,Natural / Dry,7.58,7.5,7.67,7.5,10,0,1
"Tanzania, United Republic Of",93,Other,Washed / Wet,7.5,7.5,7.5,7.58,10,0.12,1700
"Tanzania, United Republic Of",77,Bourbon,Washed / Wet,7.58,7.5,7.58,7.58,10,0.12,1550
Taiwan,10,Typica,Washed / Wet,8,7.83,7.42,7.25,10,0.08,1200
Mexico,11,Typica,Natural / Dry,7.67,7.58,7.5,7.5,10,0.11,1296
Uganda,1,SL14,Washed / Wet,7.67,7.5,7.67,7.5,10,0.12,1650
Taiwan,10,Typica,Washed / Wet,7.67,7.5,7.5,7.5,10,0.11,1240
Thailand,300,Caturra,Washed / Wet,7.42,7.5,7.67,7.5,10,0.11,1500
Colombia,250,Caturra,Washed / Wet,7.75,7.58,7.25,7.42,10,0.11,1800
Guatemala,275,Caturra,Washed / Wet,7.67,7.67,7.67,7.5,10,0.11,1500
Mexico,36,Other,Washed / Wet,7.58,7.58,7.58,7.5,10,0.11,1100
Mexico,23,Typica,Washed / Wet,7.5,7.58,7.58,7.42,10,0.12,950
Guatemala,25,Bourbon,Washed / Wet,7.5,7.42,7.75,7.5,10,0.1,1219.2
Taiwan,6,Typica,Pulped natural / honey,7.67,7.42,7.42,7.5,10,0.11,1050
Indonesia,150,Typica,Semi-washed / Semi-pulped,7.83,7.58,7.33,7.5,10,0.13,1250
Thailand,50,Caturra,Washed / Wet,7.42,7.58,7.42,7.5,10,0.12,1450
"Tanzania, United Republic Of",10,Other,Washed / Wet,7.75,7.42,7.5,7.5,10,0.12,1317
Uganda,1,SL14,Natural / Dry,7.83,7.5,7.58,7.42,10,0.12,1650
Costa Rica,250,Catuai,Washed / Wet,7.67,7.42,7.67,7.75,10,0.11,1300
Colombia,250,Caturra,Washed / Wet,7.75,7.25,7.42,7.83,10,0.11,1750
Colombia,250,Caturra,Washed / Wet,7.75,7.5,7.25,7.58,10,0.11,1750
Colombia,250,Caturra,Washed / Wet,7.58,7.5,7.58,7.42,10,0.11,1750
Mexico,50,Typica,Washed / Wet,7.5,7.58,7.5,7.5,10,0.1,1250
Mexico,70,Typica,Washed / Wet,7.67,7.58,7.75,6.83,10,0.12,1150
Colombia,275,Caturra,Washed / Wet,7.33,7.42,7.42,7.5,10,0.11,1775
Brazil,320,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,10,0.11,890
Indonesia,2,Other,Washed / Wet,7.83,7.75,7.5,7.33,10,0.11,1250
Honduras,275,Caturra,Washed / Wet,7.58,7.58,7.5,7.5,10,0.1,1400
Guatemala,50,Bourbon,Washed / Wet,7.5,7.5,7.5,7.5,10,0.1,1219.2
Thailand,50,Caturra,Washed / Wet,7.33,7.5,7.5,7.5,10,0.11,1450
"Tanzania, United Republic Of",37,Other,Washed / Wet,7.67,7.42,7.58,7.5,10,0.12,1600
Mexico,2,Other,Washed / Wet,7.42,7.58,7.67,7.5,10,0,1600
Brazil,69,Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.5,7.33,7.67,10,0.11,1260
Guatemala,250,Bourbon,Washed / Wet,7.83,7.42,7.67,7.5,10,0.12,1310.64
Colombia,250,Caturra,Washed / Wet,7.5,7.5,7.42,7.58,10,0.11,1750
Guatemala,250,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,10,0.11,1310.64
Mexico,10,Typica,Washed / Wet,7.5,7.58,7.5,7.42,10,0.13,1679
Mexico,10,Typica,Washed / Wet,7.67,7.5,7.67,7.33,10,0.12,1100
Mexico,28,Typica,Semi-washed / Semi-pulped,7.92,7.5,7.58,7.42,10,0.11,1650
Brazil,300,Bourbon,Semi-washed / Semi-pulped,7.67,7.42,7.67,7.5,10,0,1250
Colombia,275,Caturra,Washed / Wet,7.67,7.5,7.5,7.67,10,0.11,1775
Honduras,1,Other,Washed / Wet,7.42,7.67,7.58,7.5,10,0.12,1500
Guatemala,50,Bourbon,Washed / Wet,7.58,7.5,7.75,7.5,10,0.1,1700
Guatemala,50,Bourbon,Washed / Wet,7.67,7.58,7.67,7.33,10,0.12,1700
Guatemala,20,Bourbon,Washed / Wet,7.58,7.5,7.67,7.5,10,0.12,157.8864
Colombia,43,Caturra,Washed / Wet,5.08,7.75,7.75,8.08,10,0.11,1600
China,3,Catimor,Washed / Wet,7.67,7.42,7.5,7.42,10,0.1,1600
"Tanzania, United Republic Of",10,Ruiru 11,Washed / Wet,7.67,7.25,7.42,7.42,10,0.13,2285
Brazil,320,Yellow Bourbon,Natural / Dry,7.17,7.83,7.5,7.42,10,0,1
Guatemala,250,Caturra,Washed / Wet,7.5,7.5,7.67,7.5,10,0.1,1400
Mexico,10,Typica,Washed / Wet,7.42,7.5,7.58,7.5,10,0.11,1296
Brazil,39,Catuai,Semi-washed / Semi-pulped,7.58,7.67,7.5,7.42,10,0.12,1000
Brazil,220,Yellow Bourbon,Natural / Dry,7.25,7.33,7.5,7.5,10,0,1260
Mexico,10,Bourbon,Washed / Wet,7.5,7.58,7.92,7.67,10,0.12,1170
Colombia,250,Caturra,Washed / Wet,7.67,7.42,7.5,7.5,10,0.11,1775
Mexico,49,Typica,Washed / Wet,7.5,7.42,7.67,7.58,10,0.12,1560
Mexico,20,Typica,Semi-washed / Semi-pulped,7.42,7.58,7.42,7.5,10,0.13,1400
Mexico,35,Typica,Washed / Wet,7.42,7.58,7.58,7.5,10,0.14,1300
Mexico,10,Caturra,Washed / Wet,7.75,7.33,7.58,7.33,10,0.13,1170
Mexico,74,Typica,Washed / Wet,7.5,7.58,7.5,7.5,10,0.11,1300
Mexico,26,Pacamara,Washed / Wet,7.58,7.58,7.5,7.5,10,0.14,1350
Mexico,10,Caturra,Washed / Wet,7.58,7.33,7.58,7.5,10,0.11,1150
Mexico,1,Bourbon,Washed / Wet,7.67,7.58,7.42,7.33,10,0.13,1250
Mexico,10,Typica,Washed / Wet,7.83,7.5,7.67,7.33,10,0.12,1450
Colombia,250,Caturra,Natural / Dry,7.67,7.33,7.42,7.67,10,0,442
Colombia,250,Caturra,Washed / Wet,7.33,7.58,7.58,7.58,10,0,1750
Honduras,275,Caturra,Washed / Wet,7.5,7.58,7.5,7.42,10,0.1,1396
Brazil,320,Catuai,Natural / Dry,7.33,7.5,7.33,7.5,10,0.11,982
Brazil,320,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,10,0.11,934
Costa Rica,100,Caturra,Washed / Wet,7.75,7.5,7.25,7.67,10,0.1,1850
Costa Rica,130,Catuai,Washed / Wet,7.75,7.33,7.5,7.58,10,0,1550
China,3,Catimor,Pulped natural / honey,7.5,7.58,7.5,7.42,10,0.12,1580
Brazil,12,Bourbon,Natural / Dry,8.25,7.83,8.33,8.08,10,0.07,1268
Guatemala,275,Bourbon,Washed / Wet,7.5,7.42,7.83,7.5,10,0.1,1676.4
Malawi,10,Gesha,Washed / Wet,7.33,7.58,7.58,7.5,10,0.12,1450
Brazil,10,Bourbon,Natural / Dry,7.75,8.08,8.08,8,6.67,0.11,1100
Guatemala,250,Pacas,Washed / Wet,7.58,7.67,7.58,7.5,10,0.12,1524
Colombia,250,Caturra,Washed / Wet,7.42,7.33,7.17,8.33,10,0.1,1300
Taiwan,10,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,10,0.11,200
Taiwan,10,Typica,Washed / Wet,7.5,7.5,7.5,7.5,10,0.11,600
Guatemala,250,Bourbon,Washed / Wet,7.5,7.42,7.5,7.58,10,0.12,1310.64
Colombia,250,Caturra,Washed / Wet,7.5,7.42,7.5,7.58,10,0,1750
Mexico,250,Typica,Washed / Wet,7.67,7.5,7.5,7.42,10,0.12,1300
Guatemala,275,Bourbon,Washed / Wet,7.67,7.5,7.67,7.33,10,0.11,1752.6
Mexico,10,Typica,Natural / Dry,7.58,7.67,7.33,7.58,10,0.15,441
Mexico,10,Bourbon,Washed / Wet,7.67,7.58,7.58,7.5,10,0.13,1170
Guatemala,250,Bourbon,Washed / Wet,7.5,7.67,7.5,7.5,10,0.1,1310.64
Brazil,16,Mundo Novo,Natural / Dry,7.58,7.5,7.5,7.42,10,0.12,1100
Mexico,10,Typica,Washed / Wet,8,7.75,7.33,7.67,10,0.11,1300
Brazil,44,Mundo Novo,Washed / Wet,7.58,7.58,7.58,7.5,10,0.11,950
Colombia,250,Caturra,Natural / Dry,7.83,7.58,7.25,7.42,10,0,442
Brazil,1062,Catuai,Washed / Wet,7.58,7.5,7.42,7.33,10,0.09,1100
Guatemala,275,Pacas,Washed / Wet,7.67,7.5,7.67,7.42,10,0.11,1450
Brazil,180,Yellow Bourbon,Natural / Dry,7.42,7.67,7.08,7.42,10,0,1
El Salvador,275,Bourbon,Washed / Wet,7.58,7.67,7.67,8.42,9.33,0.12,1500
Honduras,275,Catuai,Washed / Wet,7.58,7.5,7.58,7.42,10,0.11,1350
Malawi,10,Gesha,Washed / Wet,7.58,7.42,7.42,7.5,10,0.13,1180
Brazil,320,Bourbon,Natural / Dry,7.75,7.58,7.42,7.33,10,0.11,1100
Taiwan,35,Typica,Washed / Wet,7.5,7.5,7.5,7.5,10,0.11,650
Mexico,150,Mundo Novo,Washed / Wet,7.58,7.58,7.42,7.42,10,0.12,1338
Mexico,10,Bourbon,Washed / Wet,7.58,7.58,7.17,7.42,10,0.16,533
Guatemala,275,Bourbon,Washed / Wet,7.5,7.5,7.58,7.33,10,0.11,1390.8024
Mexico,10,Bourbon,Washed / Wet,7.5,7.58,7.67,7.42,10,0.13,1170
Mexico,40,Typica,Washed / Wet,7.67,7.58,7.5,7.42,10,0.12,1250
Mexico,250,Typica,Washed / Wet,7.33,7.58,7.67,7.5,10,0.11,1100
Mexico,250,Typica,Washed / Wet,7.42,7.5,7.58,7.5,10,0.1,900
Colombia,250,Caturra,Washed / Wet,7.5,7.42,7.33,7.33,10,0.12,1750
Colombia,100,Caturra,Washed / Wet,7.67,7.33,7.33,7.5,10,0.11,1775
Brazil,320,Bourbon,Natural / Dry,7.42,7.42,7.42,7.5,10,0.11,934
Honduras,200,Caturra,Washed / Wet,7.5,7.5,7.42,7.5,10,0.11,1500
"Tanzania, United Republic Of",30,Bourbon,Washed / Wet,7.58,7.42,7.33,7.42,10,0.13,1650
"Tanzania, United Republic Of",300,Other,Washed / Wet,7.42,7.42,7.5,7.33,10,0.12,1600
Brazil,320,Yellow Bourbon,Natural / Dry,6.92,7.58,7.33,7.5,10,0,1
Honduras,275,Catuai,Washed / Wet,7.67,7.5,7.42,7.42,10,0.11,1350
Guatemala,250,Bourbon,Washed / Wet,7.42,7.42,7.5,7.5,10,0.09,1500
"Tanzania, United Republic Of",10,Other,Washed / Wet,7.75,7.42,7.58,7.42,10,0.12,1700
Mexico,200,Other,Washed / Wet,7.42,7.33,7.42,8.17,10,0.12,1100
Mexico,2,Other,Washed / Wet,7.5,7.5,7.42,7.42,10,0.1,1400
Taiwan,60,Typica,Other,7.5,7.5,7.5,7.5,10,0.11,1200
Taiwan,80,Typica,Washed / Wet,7.67,7.5,7.17,7.58,10,0,800
Colombia,250,Caturra,Washed / Wet,7.33,7.25,7.58,7.5,10,0,1750
Mexico,10,Typica,Washed / Wet,7.5,7.67,7.5,7.5,10,0.15,1144
Guatemala,250,Caturra,Washed / Wet,7.25,7.75,7.75,7.75,9.33,0.12,1350
Mexico,200,Typica,Washed / Wet,7.5,7.58,7.5,7.33,10,0.12,1000
Mexico,60,Typica,Washed / Wet,7,7.67,7.5,7.5,10,0.1,1200
Indonesia,2,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,10,0.15,1300
Brazil,320,Bourbon,Natural / Dry,7.42,7.58,7.5,7.25,10,0.11,894
Brazil,320,Yellow Bourbon,Natural / Dry,7.25,7.25,7.58,7.92,10,0,1
Costa Rica,275,Caturra,Washed / Wet,7.75,7.42,7.25,7.42,10,0,1300
"Tanzania, United Republic Of",300,Bourbon,Washed / Wet,7.42,7.33,7.42,7.58,10,0.12,1500
"Tanzania, United Republic Of",1,Other,Washed / Wet,7.42,7.5,7.33,7.5,10,0.12,1600
Costa Rica,150,Caturra,Washed / Wet,7.58,7.33,7.33,7.67,10,0.11,13
Mexico,35,Typica,Washed / Wet,7.42,7.58,7.33,7.42,10,0.13,1300
Mexico,250,Typica,Washed / Wet,7.5,7.42,7.5,7.5,10,0.13,1800
Mexico,15,Typica,Washed / Wet,7.67,7.5,7.58,7.33,10,0.11,1250
Vietnam,1,Other,Natural / Dry,7.67,8,7.08,7.08,10,0.12,1040
Mexico,250,Typica,Washed / Wet,7.58,7.42,7.75,7.42,10,0.11,1250
Honduras,275,Caturra,Washed / Wet,7.5,7.5,7.5,7.42,10,0.12,1600
Honduras,275,Caturra,Natural / Dry,7.5,7.5,7.33,7.5,10,0.1,1600
Brazil,230,Bourbon,Natural / Dry,7.5,7.33,7.5,7.42,10,0.11,944
"Tanzania, United Republic Of",2,Other,Washed / Wet,7.67,7.33,7.42,7.42,10,0.13,1650
Laos,1,Other,Washed / Wet,7.42,7.5,7.33,7.5,10,0.12,1250
"Tanzania, United Republic Of",1,Other,Washed / Wet,7.42,7.42,7.58,7.42,10,0.12,1350
Malawi,16,Gesha,Washed / Wet,7.5,7.42,7.58,7.5,10,0.13,2500
Taiwan,50,Typica,Washed / Wet,7.33,7.5,7.42,7.33,10,0.09,600
Costa Rica,250,Catuai,Washed / Wet,7.5,7.25,7.33,7.5,10,0.1,1300
Honduras,275,Caturra,Washed / Wet,7.33,7.33,7.5,7.83,10,0.11,1400
Colombia,250,Caturra,Washed / Wet,7.33,7.33,7.5,7.58,10,0.11,1900
Taiwan,30,Typica,Washed / Wet,7.42,7.58,7.42,7.5,10,0.12,650
Brazil,1,Mundo Novo,Natural / Dry,7.33,7.67,7.17,7.42,10,0.11,1038.5
Mexico,15,Typica,Washed / Wet,7.67,7.33,7.5,7.42,10,0.12,940
Brazil,50,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.5,10,0.12,1000
Brazil,75,Catuai,Semi-washed / Semi-pulped,7.42,7.5,7.5,7.42,10,0.11,1050
Brazil,53,Mundo Novo,Semi-washed / Semi-pulped,7.58,7.5,7.5,7.42,10,0.12,950
Guatemala,250,Bourbon,Washed / Wet,7.75,7.33,7.42,7.67,9.33,0,1402.08
Guatemala,25,Bourbon,Washed / Wet,7.58,7.5,7.58,7.5,10,0.1,1901
Guatemala,50,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,10,0.11,1219.2
Honduras,274,Caturra,Washed / Wet,7.58,7.5,7.33,7.5,10,0.12,1400
Brazil,305,Catuai,Natural / Dry,7.42,7.33,7.5,7.33,10,0.11,1020
El Salvador,275,Bourbon,Washed / Wet,7.67,7.58,7.5,7.67,9.33,0.11,1250
Guatemala,275,Catuai,Washed / Wet,7.58,7.58,7.83,7.33,10,0.11,1550
"Tanzania, United Republic Of",114,Other,Washed / Wet,7.33,7.33,7.42,7.58,10,0.12,1877
Zambia,13,SL28,Washed / Wet,7.67,7.08,7.33,7.42,10,0,1250
Taiwan,35,Typica,Other,7.5,7.5,7.25,7.5,10,0.11,1000
Mexico,450,Bourbon,Washed / Wet,7.58,7.5,7.58,7.25,10,0.12,1300
Mexico,10,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.5,10,0.13,981
Mexico,10,Mundo Novo,Washed / Wet,7.5,7.42,7.5,7.33,10,0.14,690
Mexico,30,Other,Washed / Wet,7.33,7.58,7.58,7.33,10,0.12,1650
